,access,bicycle,bridge,bridge:movable,bridge:name,bridge:wikidata,bridge:wikipedia,button_operated,check_date:surface,condition,construction,covered,crossing,crossing:island,crossing:markings,cutting,cycleway,description,foot,foot:conditional,footway,handrail,handrail:left,handrail:right,highway,horse,incline,inline_skates,kerb,lanes,layer,lcn,level,lit,motor_vehicle,name,name:pronunciation,name:ru,note,oneway,oneway:bicycle,oneway:foot,operator,ramp,ramp:bicycle,ramp:stroller,segregated,sidewalk,ski,smoothness,snowmobile,source,step_count,stroller,surface,tactile_paving,tiger:cfcc,tiger:county,tiger:name_base,tiger:zip_left,tiger:zip_right,tunnel,wheelchair,width,wikidata,wikipedia,geometry
6614,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0034348 40.7075691, -74.0032183 40.7076885, -74.0032069 40.7076967, -74.0033718 40.7079131, -74.0033839 40.7079281, -74.0033984 40.7079424)"
21047,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0030981 40.7077511, -74.0030727 40.7077622)"
20973,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0017809 40.7077612, -74.0017917 40.7077747, -74.001765 40.7077883)"
20988,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0033984 40.7079424, -74.0035941 40.7077451)"
20999,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0032876 40.7080602, -74.0030727 40.7077622)"
20972,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0014666 40.7079361, -74.0014423 40.7079492, -74.0014246 40.7079326)"
20991,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Beekman Street,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0033984 40.7079424, -74.0034164 40.7079556)"
6801,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0013272 40.7073704, -74.0013124 40.7073782, -74.0011496 40.7074639, -74.001128 40.7074753)"
20969,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0010366 40.7075234, -74.0010267 40.7075281, -74.001022 40.7075303)"
20970,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0013586 40.7078765, -74.0013452 40.7078615, -74.0013689 40.7078487)"
7022,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"POLYGON ((-74.0005037 40.7082872, -74.0002141 40.7079334, -74.0002272 40.7079268, -74.001022 40.7075303, -74.0013452 40.7078615, -74.0005037 40.7082872))"
6802,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.001022 40.7075303, -74.0013452 40.7078615, -74.0005037 40.7082872, -74.0002141 40.7079334, -74.0002272 40.7079268, -74.001022 40.7075303)"
23226,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0002272 40.7079268, -74.0002213 40.7079189)"
23225,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0002141 40.7079334, -74.000202 40.7079396)"
23227,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0001401 40.7079868, -74.0001368 40.707989, -74.000134 40.7079908)"
6808,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.000134 40.7079908, -73.9999473 40.708104, -73.999549 40.7083455)"
7024,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-74.0008582 40.70875, -74.0007514 40.7086455, -74.0005665 40.7083802, -74.0014423 40.7079492, -74.0017867 40.7082807, -74.0008582 40.70875))"
20992,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0033797 40.7079612, -74.0033984 40.7079424)"
20994,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Beekman Street,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-74.0034164 40.7079556, -74.0034379 40.7079679)"
20995,,,,,,,,,,,,,,no,zebra,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,asphalt,yes,,,,,,,,,,,"LINESTRING (-74.0033722 40.7079704, -74.0033797 40.7079612)"
20996,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Beekman Street,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-74.0035671 40.7080451, -74.0035888 40.7080581)"
21055,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-74.003313 40.7080432, -74.0033314 40.7080691)"
